Type   sigma[A]  epsilon[eV]  crystal_structure  mass[eV][?]^-2[fs]^2     lattice_constant [?]
Li     2.839     0.205362     bcc                6465500209.4486100000    3.51
Ne     2.74      0.00312075   ccp                2091.510966              4.429
Na     3.475     0.137885     bcc                21414833993.6861000000   4.2906
Al     2.62      0.392196     ccp                25133144002.4847000000   4.0495
Ar     3.4       0.010423305  fcc                4140.321114              5.256
K      4.285     0.114444     bcc                36419833862.4239000000   5.328
Ca     3.6       0.215186     ccp                38104627152.8475000000   5.5884
Cr     2.336     0.501986     bcc                48434057836.1203000000   2.91
Fe     2.321     0.526375     bcc                52019285289.8224000000   2.8665
Ni     2.282     0.66         ccp                6082.793787              3.524
Cu     2.338     0.4093545    ccp                59192720978.1907000000   3.6149
Kr     3.65      0.014043375  ccp                8685.263577              5.706
Mo     2.551     0.837908     bcc                89386169154.1116000000   3.147
Rh     2.46      0.67         ccp                10665.41039              3.8034
Pd     2.52      0.426667     ccp                99129596929.7682000000   3.8907
Ag     2.644     0.34         ccp                11179.73761              4.0853 
W      2.565     1.06783      bcc                171245866374.4460000000  3.1652
Pt     2.542     0.681667     ccp                181719585486.2520000000  3.9242
Au     2.637     0.441489     ccp                183473216187.0600000000  4.0782
Pb     3.197     0.236386     ccp                193005567410.7120000000  4.9508
